project_name,project_short,project_code,latitude,longitude,site_stage,site_type,site_subtype,site_commodities,tectonic_unit,resource_mt,resource_grade_gt,resource_oz,reserve_mt,reserve_grade_gt,reserve_oz,total_gold_oz,tenement_ids,tenement_types,tenement_holders,tenement_status,minedex_url
Horse Well,Horse Well,J03709,-25.923637,120.718309,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,8.1746,1.53701221,403956.2,0.0,0.0,0.0,403956.2,E 69/1772,EXPLORATION LICENCE,ESKAY RESOURCES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/bfc01eb6-a676-446e-b511-4482e098607d
Horseshoe Lights,Horseshoe Lights,J00164,-25.361706,118.621311,Care and Maintenance,Mine,Openpit,"Cu, Au, Ag",Bryah Basin,10.3544,0.13458221,44802.6,0.0,0.0,0.0,44802.6,M 52/743,MINING LEASE,MURCHISON COPPER MINES PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/05e6e59d-6372-44b0-b911-abc6a8b03e30
Illaara Gold,Illaara,J05541,-29.274785,120.062981,Shut,Mine,Unspecified,"Au, Ag",Youanmi Terrane,0.0684,6.79780702,14949.1,0.0,0.0,0.0,14949.1,E 29/1050,EXPLORATION LICENCE,DREADNOUGHT (YILGARN) PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/887cf5e9-60e6-42ee-a009-4b401c369aeb
Ironstone Well,Ironstone Well,J01616,-26.840597,120.781908,Undeveloped,Deposit,Unspecified,"Au, Ag",Eastern Goldfields Superterrane,7.3863,1.1282588,267932.9,0.0,0.0,0.0,267932.9,M 53/1093,MINING LEASE,YANDAL RESOURCES LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/f2e42b7d-cf9a-4e1c-a4bb-41a20d30ff82
Jasper Hills ,Jasper Hills ,J05577,-29.127987,123.039991,Proposed,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,5.934,1.70342096,324982.5,2.013,1.589692,102883.8,427866.3,L 39/163; M 39/185,MISCELLANEOUS LICENCE; MINING LEASE,MURRIN MURRIN OPERATIONS PTY LTD; LORD BYRON MINING PTY LTD,LIVE; LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/9e239755-0f19-463d-8449-225b1f79e350
Jaurdi - Cammi's Creek,Jaurdi - Cammi's Creek,J04253,-30.706236,120.910014,Shut,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,1.018,1.3079666,42809.0,0.282,1.29716312,11760.7,54569.7,M 16/34,MINING LEASE,BEACON MINING PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/13ed870f-cd62-4538-a4e0-447e5c1cacc4
Jeffreys Find,Jeffreys Find,J00170,-31.94642,122.151147,Care and Maintenance,Mine,Openpit,"Au, Ag",Eastern Goldfields Superterrane,0.87,1.16114943,32478.6,0.0,0.0,0.0,32478.6,M 63/242,MINING LEASE,JEFFREYS FIND PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/5de234c2-9744-4d79-b449-f1400246ee99
Jerdacuttup,Jerdacuttup,J05835,-33.754546,120.208407,Proposed,Mine,Openpit,"Au, Cu, Ag, Pb, Zn",Barren Basin,5.601,0.90412426,162811.1,0.0,0.0,0.0,162811.1,M 74/176,MINING LEASE,MEDALLION METALS LIMITED,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/0f3aec99-a4c9-fcbe-a6ba-ba916825abfc
Johnson Range,Johnson Range,J03902,-29.7079,119.438821,Shut,Mine,Openpit,"Au, Ag",Youanmi Terrane,1.4257,2.25705899,103457.4,0.0,0.0,0.0,103457.4,M 77/1263-I,MINING LEASE,AURUMIN JOHNSON RANGE PTY LTD,LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/7346b6e6-fb2c-457e-83f1-f169bcbf97f4
Joshtails,Joshtails,J02305,-30.816178,121.535609,Shut,Mine,Tailings storage facility,"Au, Ag",Eastern Goldfields Superterrane,0.005,1.9,305.4,0.0,0.0,0.0,305.4,P 26/4471,PROSPECTING LICENCE,"POTTS, CHRISTOPHER PETER",LIVE,https://minedex.dmirs.wa.gov.au/Web/projects/details/390a9864-9fde-4514-b864-be226aed0e8a
