OBJECTID,PROJ_NAME,PROJ_SHORT,PROJ_CODE,PRI_P_COM,LOC_SITE,LATITUDE,LONGITUDE,TECT_UNIT,EST_COM,EST_COM_AB,EST_COM_P,RES_QTY,RES_QTY_U,RES_QTY_G,RES_QTY_GU,RES_CON,RES_CON_U,ARES_CON,ARES_CON_U,RV_QTY,RV_QTY_U,RV_QTY_G,RV_QTY_GU,RV_CON,RV_CON_U,ARV_CON,ARV_CON_U,POINT_SIZE,POINT_UNIT,PROJ_URL,EXTRACT_DA,TENEMENT_IDS,TENEMENT_TYPES,TENEMENT_HOLDERS,TENEMENT_STATUS,SITE_TYPE,SITE_SUBTYPE,SITE_STAGE,SITE_COMMODITIES
333110,Red White and Blue,Red White and Blue,J02402,Gold,S0000609,-32.243978,121.803111,Eastern Goldfields Superterrane,Gold,Au,Yes,0.276,million tonnes,1.9,gram/tonne,524.4,kilogram,16859.8517268,ounce (troy),0.07,million tonnes,2.77,gram/tonne,193.9,kilogram,6234.0298433,ounce (troy),718.3,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/26b2a0fe-b8bc-4df9-afaf-025014362857,10/04/2026,M 63/668,MINING LEASE,CENTRAL NORSEMAN GOLD CORPORATION PTY LTD,LIVE,Mine,Openpit,Shut,"Au, Ag"
333111,Redcastle Gold,Redcastle,J06213,Gold,S0240953,-28.989573,121.924317,Eastern Goldfields Superterrane,Gold,Au,Yes,0.489,million tonnes,2.65051125,gram/tonne,1296.1,kilogram,41670.5831867,ounce (troy),,,,,,,,,1296.1,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/0cc698f9-a95b-b7bb-2c71-99cfbf2f3df4,10/04/2026,M 39/318,MINING LEASE,E-COLLATE PTY LTD,LIVE,Deposit,Unspecified,Undeveloped,Au
333112,Redcliffe,Redcliffe,J00342,Gold,S0236968,-28.462902,121.563431,Eastern Goldfields Superterrane,Gold,Au,Yes,12.26,million tonnes,1.71828711,gram/tonne,21066.2,kilogram,677294.0664514,ounce (troy),1.16,million tonnes,2.81551724,gram/tonne,3266,kilogram,105004.339702,ounce (troy),24332.2,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/9132efbe-d083-4e73-b4d7-bad3a69ae7c6,10/04/2026,M 37/1348,MINING LEASE,REDCLIFFE PROJECT PTY LTD,LIVE,Mine,Openpit,Operating,"Au, Ag"
333114,Reedy,Reedy,J07168,Gold,S0232624,-27.115634,118.284077,Youanmi Terrane,Gold,Au,Yes,18.2879,million tonnes,2.46529273,gram/tonne,45085.027,kilogram,1449517.29656517,ounce (troy),0.455,million tonnes,3.41123077,gram/tonne,1552.11,kilogram,49901.49592617,ounce (troy),46637.137,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/4cd3488f-6b6b-5a51-ef86-97ee42bb4521,10/04/2026,M 20/214,MINING LEASE,BIG BELL GOLD OPERATIONS PTY LTD,LIVE,Infrastructure,Road,Operating,"Au, Ag"
333116,Reedy South,Pegasus,J03459,Gold,S0023356,-27.150737,118.260607,Youanmi Terrane,Gold,Au,Yes,0.778,million tonnes,1.7,gram/tonne,1322.6,kilogram,42522.5779822,ounce (troy),,,,,,,,,1322.6,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/04c67da8-9bf4-42cf-80ec-b482a7b800ea,10/04/2026,M 20/446,MINING LEASE,NORTHERN DRILLING PTY LTD,LIVE,Mine,Scraping-Detecting area,Operating,"Au, Ag"
333121,Richenda River - Turtle,Richenda River - Turtle,J00311,Gold,S0000688,-17.416357,125.311807,"Lamboo Province, Western Zone",Gold,Au,Yes,0.25,million tonnes,3.75,gram/tonne,937.5,kilogram,30141.3253125,ounce (troy),,,,,,,,,937.5,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/3143c4f9-5bcd-4040-a556-ceb6c79d3fe0,10/04/2026,E 04/2327-I,EXPLORATION LICENCE,MINGS MINING RESOURCES PTY LTD,LIVE,Deposit,Unspecified,Undeveloped,"Au, Cu, Pb, Ag, As, Sb"
333129,Riverina East,Riverina East,J04984,Gold,S0019053,-29.67185,120.576959,Eastern Goldfields Superterrane,Gold,Au,Yes,0.1369,million tonnes,7.1020599,gram/tonne,972.272,kilogram,31259.27108718,ounce (troy),,,,,,,,,972.272,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/468a856e-a7fa-459d-9194-179b9cc31cbc,10/04/2026,M 30/91,MINING LEASE,RED DIRT MINING PTY LTD,LIVE,Mine,Unspecified,Shut,"Au, Ag"
333154,Roe,Roe,J04745,Gold,S0233226,-30.715117,122.56706,Eastern Goldfields Superterrane,Gold,Au,Yes,34.504,million tonnes,1.61385347,gram/tonne,55684.4,kilogram,1790295.0562468,ounce (troy),7.3,million tonnes,1.72054795,gram/tonne,12560,kilogram,403813.38232,ounce (troy),68244.4,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/af03c9c6-f70b-4bb1-8dac-7e026eb7bf85,10/04/2026,M 28/388,MINING LEASE,LAKE ROE GOLD MINING PTY LTD,LIVE,Mine,Openpit,Proposed,"Au, Ag"
333155,Ronstan,Ronstan,J01653,Gold,S0004292,-29.068966,117.135508,Youanmi Terrane,Gold,Au,Yes,,,,,,,,,0.001,million tonnes,10,gram/tonne,10,kilogram,321.50747,ounce (troy),10,,https://minedex.dmirs.wa.gov.au/Web/projects/details/b3ee4fbf-01f1-4827-9019-fbfaf9ddfaed,10/04/2026,P 59/2399-S; E 59/1996-I,PROSPECTING LICENCE; EXPLORATION LICENCE,"BLAIR, STEVEN GLENN; DC MINES PTY LTD",LIVE; LIVE,Deposit,Unspecified,Undeveloped,Au
333156,Rose Dam,Rose Dam,J02780,Gold,S0020551,-30.51037,121.279265,Eastern Goldfields Superterrane,Gold,Au,Yes,0.68,million tonnes,3.07352941,gram/tonne,2090,kilogram,67195.06123,ounce (troy),,,,,,,,,2090,kilogram,https://minedex.dmirs.wa.gov.au/Web/projects/details/67764eb4-72c3-495a-b7ac-f783fcc1b50a,10/04/2026,M 24/451,MINING LEASE,PADDINGTON GOLD PTY LIMITED,LIVE,Mine,Openpit,Operating,"Au, Ag"
